Province	Electoral District Name/Nom de circonscription	Electoral District Number/Numéro de circonscription	Candidate/Candidat	Candidate Residence/Résidence du candidat	Candidate Occupation/Profession du candidat	Votes Obtained/Votes obtenus	Percentage of Votes Obtained /Pourcentage des votes obtenus	Majority/Majorité	Majority Percentage/Pourcentage de majorité
Ontario	Northumberland--Clarke	35074	Lisa Bradburn People's Party - PPC/Parti populaire - PPC	Roseneath, Ont.	Psychotherapist/Psychothérapeute	521	0.7		
Ontario	Northumberland--Clarke	35074	Jody Ledgerwood Independent/Indépendant(e)	Cobourg, Ont.	Real Estate Broker/Courtière immobilière	270	0.4		
Ontario	Northumberland--Clarke	35074	John Wesselius Christian Heritage Party/Parti de l'Héritage Chrétien	Cobourg, Ont.	Retired/À la retraite	171	0.2		
Ontario	Oakville East/Oakville-Est	35075	Anita Anand ** Liberal/Libéral	Oakville, Ont.	Parlamentarian/Parlementaire	31128	51.1	3827	6.3
Ontario	Oakville East/Oakville-Est	35075	Ron Chhinzer Conservative/Conservateur	Oakville, Ont.	Vice President External Affairs/Vice-président des affaires extérieures	27301	44.8		
Ontario	Oakville East/Oakville-Est	35075	Hailey Ford NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Oakville, Ont.	Student/Étudiante	1698	2.8		
Ontario	Oakville East/Oakville-Est	35075	Bruno Sousa Green Party/Parti Vert	Oakville, Ont.	Technology Entrepreneur and Consultant/Entrepreneur et consultant en technologie	351	0.6		
Ontario	Oakville East/Oakville-Est	35075	Henry Karabela People's Party - PPC/Parti populaire - PPC	Oakville, Ont.	Retired/À la retraite	335	0.6		
Ontario	Oakville East/Oakville-Est	35075	Alicia Bedford United Party of Canada (UP)/Parti Uni du Canada (UP)	Burlington, Ont.	Self-Employed/Travailleuse indépendante	59	0.1		
Ontario	Oakville West/Oakville-Ouest	35076	Sima Acan Liberal/Libéral	Oakville, Ont.	Engineering/Ingénierie	31872	53.1	5204	8.7
Ontario	Oakville West/Oakville-Ouest	35076	Tim Crowder Conservative/Conservateur	Oakville, Ont.	Bank Executive/Cadre bancaire	26668	44.4		
Ontario	Oakville West/Oakville-Ouest	35076	Diane Downey NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Oakville, Ont.	Game Developer/Développeuse de jeux vidéo	831	1.4		
Ontario	Oakville West/Oakville-Ouest	35076	Chris Kowalchuk Green Party/Parti Vert	Oakville, Ont.	Retired/À la retraite	363	0.6		
Ontario	Oakville West/Oakville-Ouest	35076	JD Meaney People's Party - PPC/Parti populaire - PPC	Oakville, Ont.	Mortgage Agent/Agent hypothécaire	254	0.4		
Ontario	Oakville West/Oakville-Ouest	35076	Martin Gegus Independent/Indépendant(e)	Oakville, Ont.	IT Solutions Architect/Architecte en solutions de TI	55	0.1		
Ontario	Orléans	35077	Marie-France Lalonde ** Liberal/Libéral	Orléans, Ont.	Parliamentarian/Parlementaire	53146	67.4	31074	39.4
Ontario	Orléans	35077	Steve Mansour Conservative/Conservateur	Orléans, Ont.	Law Student/Stagiaire en droit	22072	28		
Ontario	Orléans	35077	Oulai B. Goué NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Ottawa, Ont.	Teacher/Enseignant	2063	2.6		
Ontario	Orléans	35077	Jaycob Jacques Green Party/Parti Vert	Ottawa, Ont.	Mobilizer/Mobilisateur	652	0.8		
Ontario	Orléans	35077	Tafiqul Abu Mohammad People's Party - PPC/Parti populaire - PPC	Nepean, Ont.	Realtor/Courtier immobilier	331	0.4		
Ontario	Orléans	35077	Arlo Arrowsmith Libertarian/Libertarien	Ottawa, Ont.	Claims Agent/Agent en sinistres	301	0.4		
Ontario	Orléans	35077	Mazhar Choudhry Independent/Indépendant(e)	Ottawa, Ont.	Software Architect/Concepteur de logiciels	162	0.2		
Ontario	Orléans	35077	Arabella Vida Independent/Indépendant(e)	Orléans, Ont.	Ethan Vida Organization Officer/Agente à Ethan Vida Organization	76	0.1		
Ontario	Oshawa	35078	Rhonda Kirkland Conservative/Conservateur	Oshawa, Ont.	Educational Therapist/Thérapeute en éducation	32131	48.2	3478	5.2
Ontario	Oshawa	35078	Isaac Ransom Liberal/Libéral	Ajax, Ont.	Corporate Affairs/Affaires corporatives	28653	43		
Ontario	Oshawa	35078	Sara Labelle NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Oshawa, Ont.	Charge Medical Laboratory Technologist/Technologue en laboratoire médical en chef	5112	7.7		
Ontario	Oshawa	35078	Katherine Mathewson Green Party/Parti Vert	Oshawa, Ont.	Native Plant Garden Designer/Conceptrice de jardins de plantes indigènes	804	1.2		
Ontario	Ottawa Centre/Ottawa-Centre	35079	Yasir Naqvi ** Liberal/Libéral	Ottawa, Ont.	Parliamentarian / Lawyer/Parlementaire et avocat	51026	62.7	35091	43.1
Ontario	Ottawa Centre/Ottawa-Centre	35079	Joel Harden NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Ottawa, Ont.	Parliamentarian/Parlementaire	15935	19.6		
Ontario	Ottawa Centre/Ottawa-Centre	35079	Paul D'Orsonnens Conservative/Conservateur	Ottawa, Ont.	Director, Employment and Social Development Canada/Directeur, Emploi et Développement social Canada	12692	15.6		
Ontario	Ottawa Centre/Ottawa-Centre	35079	Amanda Rosenstock Green Party/Parti Vert	Ottawa, Ont.	Policy Analyst/Analyste des politiques	916	1.1		
Ontario	Ottawa Centre/Ottawa-Centre	35079	Andrea Chabot Canadian Future Party/Parti Avenir Canadien	Ottawa, Ont.	Program Manager/Gestionnaire de programme	268	0.3		
Ontario	Ottawa Centre/Ottawa-Centre	35079	Marie-Chantal Leriche Christian Heritage Party/Parti de l'Héritage Chrétien	Ottawa, Ont.	Natural Health/Santé naturelle	234	0.3		
Ontario	Ottawa Centre/Ottawa-Centre	35079	Cashton Perry Communist/Communiste	Ottawa, Ont.	Assembly Worker/Ouvrier d'assemblage	154	0.2		
Ontario	Ottawa Centre/Ottawa-Centre	35079	Mike Salmon Independent/Indépendant(e)	Ottawa, Ont.	Customer Service/Service à la clientèle	66	0.1		
Ontario	Ottawa Centre/Ottawa-Centre	35079	Zed Chebib Independent/Indépendant(e)	Ottawa, Ont.	Retired, Construction/Construction à la retraite	47	0.1		
Ontario	Ottawa South/Ottawa-Sud	35080	David McGuinty ** Liberal/Libéral	Ottawa, Ont.	Parliamentarian/Parlementaire	43388	65.2	25378	38.1
Ontario	Ottawa South/Ottawa-Sud	35080	Blair Turner Conservative/Conservateur	Greely, Ont.	Police Officer/Policier	18010	27.1		
Ontario	Ottawa South/Ottawa-Sud	35080	Hena Masjedee NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Ottawa, Ont.	Federal Public Servant / Policy Analyst/Fonctionnaire fédérale et analyste des politiques	4017	6		
Ontario	Ottawa South/Ottawa-Sud	35080	Nira Dookeran Green Party/Parti Vert	Ottawa, Ont.	Retired/À la retraite	642	1		
Ontario	Ottawa South/Ottawa-Sud	35080	Alex Perrier Christian Heritage Party/Parti de l'Héritage Chrétien	Ottawa, Ont.	Grocery Clerk/Commis d'épicerie	259	0.4		
Ontario	Ottawa South/Ottawa-Sud	35080	William Cooper Parti Rhinocéros Party/Parti Rhinocéros Party	Ottawa, Ont.	Small Business Owner/Propriétaire de petite entreprise	155	0.2		
Ontario	Ottawa South/Ottawa-Sud	35080	John Redins Canadian Future Party/Parti Avenir Canadien	Ottawa, Ont.	50/50 Ticket Seller/Vendeur de billets 50/50	93	0.1		
Ontario	Ottawa West--Nepean/Ottawa-Ouest--Nepean	35082	Anita Vandenbeld ** Liberal/Libéral	Ottawa, Ont.	Parliamentarian/Parlementaire	43555	63.6	25038	36.6
Ontario	Ottawa West--Nepean/Ottawa-Ouest--Nepean	35082	Ryan Telford Conservative/Conservateur	Nepean, Ont.	Public Servant/Fonctionnaire	18517	27.1		
Ontario	Ottawa West--Nepean/Ottawa-Ouest--Nepean	35082	Josh Bizjak NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Ottawa, Ont.	Executive Director/Directeur général	4847	7.1		
Ontario	Ottawa West--Nepean/Ottawa-Ouest--Nepean	35082	Prashanta Dhakal Green Party/Parti Vert	Ottawa, Ont.	Software Developer/Développeur de logiciels 	780	1.1		
Ontario	Ottawa West--Nepean/Ottawa-Ouest--Nepean	35082	Glen Armstrong People's Party - PPC/Parti populaire - PPC	Nepean, Ont.	Teacher/Enseignant	514	0.8		
Ontario	Ottawa West--Nepean/Ottawa-Ouest--Nepean	35082	Sean Mulligan Christian Heritage Party/Parti de l'Héritage Chrétien	Gatineau (Aylmer), Que./Qc	Political Candidate/Candidat politique	232	0.3		
Ontario	Ottawa--Vanier--Gloucester	35081	Mona Fortier ** Liberal/Libéral	Ottawa, Ont.	Parliamentarian/Parlementaire	45934	67.4	31301	45.9
Ontario	Ottawa--Vanier--Gloucester	35081	Dean Wythe Conservative/Conservateur	Ottawa, Ont.	Senior Policy Advisor/Conseiller principal en politiques	14633	21.5		
Ontario	Ottawa--Vanier--Gloucester	35081	Tristan Oliff NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Ottawa, Ont.	Management Consultant/Consultant en gestion	5164	7.6		
Ontario	Ottawa--Vanier--Gloucester	35081	Christian Proulx Green Party/Parti Vert	Ottawa, Ont.	Construction/Construction	1345	2		
Ontario	Ottawa--Vanier--Gloucester	35081	Marty Simms People's Party - PPC/Parti populaire - PPC	Ottawa, Ont.	Independent Consultant/Consultant indépendant	349	0.5		
Ontario	Ottawa--Vanier--Gloucester	35081	Coreen Corcoran Libertarian/Libertarien	Ottawa, Ont.	System Analyst/Analyste de systèmes	338	0.5		
Ontario	Ottawa--Vanier--Gloucester	35081	Elizabeth Benoit Independent/Indépendant(e)	Ottawa, Ont.	Public Servant/Fonctionnaire	238	0.3		
Ontario	Ottawa--Vanier--Gloucester	35081	Christian Legeais Marxist-Leninist/Marxiste-Léniniste	Gatineau, Que./ Qc	Documentalist/Documentaliste	182	0.3		
Ontario	Oxford	35083	Arpan Khanna ** Conservative/Conservateur	Woodstock, Ont.	Parliamentarian/Parlementaire	38191	53.4	10880	15.2
Ontario	Oxford	35083	David Hilderley Liberal/Libéral	Woodstock, Ont.	Realtor/Courtier immobilier	27311	38.2		
Ontario	Oxford	35083	Matthew Chambers NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Ingersoll, Ont.	Custodian/Concierge	3046	4.3		
Ontario	Oxford	35083	Jacob Watson Christian Heritage Party/Parti de l'Héritage Chrétien	Norwich, Ont.	Manufacturer/Fabricant	1203	1.7		
Ontario	Oxford	35083	Cheryle Baker Green Party/Parti Vert	Elmira, Ont.	Engineer/Ingénieure	897	1.3		
Ontario	Oxford	35083	Steven Beausoleil People's Party - PPC/Parti populaire - PPC	Tillsonburg, Ont.	Self-Employed/Travailleur indépendant	642	0.9		
Ontario	Oxford	35083	Melanie Van Brugge United Party of Canada (UP)/Parti Uni du Canada (UP)	New Hamburg, Ont.	Consultant/Consultante	152	0.2		
Ontario	Oxford	35083	Akshay Varun Raj Vardhan Independent/Indépendant(e)	Embro, Ont.	Lawyer/Avocat	109	0.2		
Ontario	Parry Sound--Muskoka	35084	Scott Aitchison ** Conservative/Conservateur	Baysville, Ont.	Parliamentarian/Parlementaire	33742	52.2	6179	9.6
Ontario	Parry Sound--Muskoka	35084	Geordie Sabbagh Liberal/Libéral	Huntsville, Ont.	Filmmaker/Cinéaste	27563	42.6		
Ontario	Parry Sound--Muskoka	35084	Heather Hay NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Gravenhurst, Ont.	Coodinator, Elder Abuse Prevention Muskoka/Coordinatrice, Elder Abuse Prevention Muskoka	2300	3.6		
Ontario	Parry Sound--Muskoka	35084	Isabel Pereira People's Party - PPC/Parti populaire - PPC	Burk's Falls, Ont.	Retired/À la retraite	1048	1.6		
Ontario	Perth--Wellington	35085	John Nater ** Conservative/Conservateur	Mitchell, Ont.	Parliamentarian/Parlementaire	33972	53	7830	12.2
Ontario	Perth--Wellington	35085	David Mackey Liberal/Libéral	Stratford, Ont.	Board Member/Membre du conseil	26142	40.8		
Ontario	Perth--Wellington	35085	Kevin Kruchkywich NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Stratford, Ont.	Actor/Acteur	2909	4.5		
Ontario	Perth--Wellington	35085	Wayne Baker People's Party - PPC/Parti populaire - PPC	Arthur, Ont.	Self-Employed/Travailleur indépendant	1069	1.7		
Ontario	Peterborough	35086	Emma Harrison Liberal/Libéral	Lakefield, Ont.	Farmer/Agricultrice	42890	54.3	10444	13.2
Ontario	Peterborough	35086	Michelle Ferreri ** Conservative/Conservateur	Lakefield, Ont.	Parliamentarian/Parlementaire	32446	41		
Ontario	Peterborough	35086	Heather Ray NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Douro-Dummer, Ont.	Director of Operations/Directrice des opérations	2406	3		
Ontario	Peterborough	35086	Jazmine Raine Green Party/Parti Vert	Peterborough, Ont.	PhD Student/Étudiant de doctorat	655	0.8		
Ontario	Peterborough	35086	Jami-Leigh McMaster People's Party - PPC/Parti populaire - PPC	Peterborough, Ont.	Self-Employed/Travailleuse indépendante	272	0.3		
Ontario	Peterborough	35086	Chad Jewell Independent/Indépendant(e)	Peterborough, Ont.	Business Owner/Propriétaire d'entreprise	222	0.3		
Ontario	Peterborough	35086	Matthew Grove Christian Heritage Party/Parti de l'Héritage Chrétien	Peterborough, Ont.	Courier/Messager	168	0.2		
Ontario	Pickering--Brooklin	35087	Juanita Nathan Liberal/Libéral	Markham, Ont.	Councillor/Conseillère	38578	54.2	9258	13
Ontario	Pickering--Brooklin	35087	Alicia Vianga Conservative/Conservateur	Toronto, Ont.	Business Owner/Propriétaire d'entreprise	29320	41.2		
Ontario	Pickering--Brooklin	35087	Jamie Nye NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Pickering, Ont.	Electrician/Électricien	1838	2.6		
Ontario	Pickering--Brooklin	35087	Lisa Robinson People's Party - PPC/Parti populaire - PPC	Pickering, Ont.	Councellor/Conseillère	639	0.9		
Ontario	Pickering--Brooklin	35087	Andrea Wood Green Party/Parti Vert	Pickering, Ont.	Accountant/Comptable	535	0.8		
Ontario	Pickering--Brooklin	35087	Zainab Rana Centrist/Centriste	Pickering, Ont.	Student/Étudiante	322	0.5		
Ontario	Prescott--Russell--Cumberland	35088	Giovanna Mingarelli Liberal/Libéral	Rockland, Ont.	Entrepreneur/Entrepreneure	39110	54.8	10305	14.4
Ontario	Prescott--Russell--Cumberland	35088	Julie Séguin Conservative/Conservateur	Hawkesbury, Ont.	Executive Policy Officer/Agente exécutive des politiques	28805	40.3		
Ontario	Prescott--Russell--Cumberland	35088	Ryder Finlay NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Ottawa, Ont.	Administrative Assistant/Adjoint administratif	1730	2.4		
Ontario	Prescott--Russell--Cumberland	35088	Thaila Riden Green Party/Parti Vert	Vankleek Hill, Ont.	Stay-at-Home Parent/Parent au foyer	787	1.1		
Ontario	Prescott--Russell--Cumberland	35088	Deborah Perrier People's Party - PPC/Parti populaire - PPC	Plantagenet, Ont.	Administrative Clerk/Commis administrative	725	1		
Ontario	Prescott--Russell--Cumberland	35088	Jason St-Louis Independent/Indépendant(e)	Russell, Ont.	Driving Instructor/Instructeur de conduite	236	0.3		
Ontario	Richmond Hill South/Richmond Hill-Sud	35089	Vincent Ho Conservative/Conservateur	Richmond Hill, Ont.	Lawyer/Avocat	30615	52.3	4606	7.9
Ontario	Richmond Hill South/Richmond Hill-Sud	35089	Majid Jowhari ** Liberal/Libéral	Richmond Hill, Ont.	Parliamentarian/Parlementaire	26009	44.4		
Ontario	Richmond Hill South/Richmond Hill-Sud	35089	Ebrahim Astaraki NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Toronto, Ont.	Education Consultant/Consultant en éducation	1054	1.8		
Ontario	Richmond Hill South/Richmond Hill-Sud	35089	Alison Lam Green Party/Parti Vert	Richmond Hill, Ont.	Student/Étudiante	495	0.8		
Ontario	Richmond Hill South/Richmond Hill-Sud	35089	Joshua Sideris People's Party - PPC/Parti populaire - PPC	Richmond Hill, Ont.	Founding Engineer/Ingénieur fondateur	244	0.4		
Ontario	Richmond Hill South/Richmond Hill-Sud	35089	Yan Wang Independent/Indépendant(e)	Richmond Hill, Ont.	Manager/Gestionnaire	124	0.2		
Ontario	Richmond Hill South/Richmond Hill-Sud	35089	Juni Yeung Canadian Future Party/Parti Avenir Canadien	Richmond Hill, Ont.	Interpreter/Interprète	43	0.1		
Ontario	St. Catharines	35101	Chris Bittle ** Liberal/Libéral	St. Catharines, Ont.	Parliamentarian/Parlementaire	34750	52	7737	11.6
Ontario	St. Catharines	35101	Bas Sluijmers Conservative/Conservateur	St. Catharines, Ont.	Sales/Vente 	27013	40.4		
Ontario	St. Catharines	35101	Karen Orlandi NDP-New Democratic Party/NPD-Nouveau Parti démocratique	St. Catharines, Ont.	Minister/Ministre	4021	6		
Ontario	St. Catharines	35101	Dennis Wilson People's Party - PPC/Parti populaire - PPC	Stevensville, Ont.	Retired/À la retraite	522	0.8		
Ontario	St. Catharines	35101	Christopher Reilly Independent/Indépendant(e)	St. Catharines, Ont.	Registered Practical Nurse/Infirmière auxiliaire autorisée	306	0.5		
Ontario	St. Catharines	35101	Taha Alexander Haj-Ahmad Centrist/Centriste	St. Catharines, Ont.	Scientist/Scientifique	198	0.3		
Ontario	Sarnia--Lambton--Bkejwanong	35090	Marilyn Gladu ** Conservative/Conservateur	Camlachie, Ont.	Parliamentarian/Parlementaire	40597	53.1	11657	15.3
Ontario	Sarnia--Lambton--Bkejwanong	35090	George Vandenberg Liberal/Libéral	Sarnia, Ont.	Licensed Paralegal/Parajuriste autorisé	28940	37.9		
Ontario	Sarnia--Lambton--Bkejwanong	35090	Lo-Anne Chan NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Sarnia, Ont.	Chef/Chef cuisinière	4088	5.4		
Ontario	Sarnia--Lambton--Bkejwanong	35090	Brian Everaert People's Party - PPC/Parti populaire - PPC	Sombra, Ont.	Iron Worker/Ferronnier	1136	1.5		
Ontario	Sarnia--Lambton--Bkejwanong	35090	Jacques Y Boudreau Libertarian/Libertarien	Petrolia, Ont.	Actuary/Actuaire	990	1.3		
Ontario	Sarnia--Lambton--Bkejwanong	35090	Mark Lamore Christian Heritage Party/Parti de l'Héritage Chrétien	Sarnia, Ont.	Truck Driver/Camionneur	437	0.6		
Ontario	Sarnia--Lambton--Bkejwanong	35090	Tony Mitchell Parti Rhinocéros Party/Parti Rhinocéros Party	Oil City, Ont.	Substitute Principal/Directeur remplaçant	201	0.3		
Ontario	Sault Ste. Marie--Algoma	35091	Terry Sheehan ** Liberal/Libéral	Sault Ste. Marie, Ont.	Parliamentarian/Parlementaire	30936	47.4	1728	2.6
Ontario	Sault Ste. Marie--Algoma	35091	Hugh Stevenson Conservative/Conservateur	Sault Ste. Marie, Ont.	Chief of Police/Chef de police	29208	44.7		
Ontario	Sault Ste. Marie--Algoma	35091	Laura Mayer NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Blind River, Ont.	Executive Director/Directrice générale	4327	6.6		
Ontario	Sault Ste. Marie--Algoma	35091	Robyn Kiki Eshkibok Green Party/Parti Vert	Sault Ste. Marie, Ont.	Student/Étudiante	541	0.8		
Ontario	Sault Ste. Marie--Algoma	35091	James Collins Christian Heritage Party/Parti de l'Héritage Chrétien	Sault Ste. Marie, Ont.	Sole Proprietor/Propriétaire unique	305	0.5		
Ontario	Scarborough Centre--Don Valley East/Scarborough-Centre--Don Valley-Est	35093	Salma Zahid ** Liberal/Libéral	Scarborough, Ont.	Parliamentarian/Parlementaire	27557	57.3	9250	19.2
Ontario	Scarborough Centre--Don Valley East/Scarborough-Centre--Don Valley-Est	35093	Belent Mathew Conservative/Conservateur	Pickering, Ont.	Office Manager/Chef de bureau	18307	38.1		
Ontario	Scarborough Centre--Don Valley East/Scarborough-Centre--Don Valley-Est	35093	Alyson Koa NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Ottawa, Ont.	Communications Specialist/Spécialiste en communication 	1565	3.3		
Ontario	Scarborough Centre--Don Valley East/Scarborough-Centre--Don Valley-Est	35093	Peter Koubakis People's Party - PPC/Parti populaire - PPC	Toronto, Ont.	Meat Cutter/Commis boucher	659	1.4		
Ontario	Scarborough North/Scarborough-Nord	35095	Shaun Chen ** Liberal/Libéral	Scarborough, Ont.	Parliamentarian/Parlementaire	29418	63	13931	29.8
Ontario	Scarborough North/Scarborough-Nord	35095	Gurmit Sandhu Conservative/Conservateur	Brampton, Ont.	Insurance Broker/Courtière d'assurance	15487	33.1		
Ontario	Scarborough North/Scarborough-Nord	35095	Karishma Manji NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Toronto, Ont.	Family Physician/Médecin de famille	1827	3.9		
Ontario	Scarborough Southwest/Scarborough-Sud-Ouest	35096	Bill Blair ** Liberal/Libéral	Toronto, Ont.	Parliamentarian/Parlementaire	33495	61.5	16843	30.9
Ontario	Scarborough Southwest/Scarborough-Sud-Ouest	35096	Asm Tarun Conservative/Conservateur	Scarborough, Ont.	Family Physician/Médecin de famille	16652	30.6		
Ontario	Scarborough Southwest/Scarborough-Sud-Ouest	35096	Fatima Shaban NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Toronto, Ont.	Administrative Coordinator/Coordonnatrice administrative	2730	5		
Ontario	Scarborough Southwest/Scarborough-Sud-Ouest	35096	Amanda Cain Green Party/Parti Vert	Scarborough, Ont.	Communications Consultant/Consultante en communications	754	1.4		
Ontario	Scarborough Southwest/Scarborough-Sud-Ouest	35096	Michael Poulin People's Party - PPC/Parti populaire - PPC	Toronto, Ont.	IT Project Manager/Gestionnaire de projet TI	567	1		
Ontario	Scarborough Southwest/Scarborough-Sud-Ouest	35096	Imran Khan Centrist/Centriste	Scarborough, Ont.	Broker of Record/Courtier accrédité	165	0.3		
Ontario	Scarborough Southwest/Scarborough-Sud-Ouest	35096	Christine Nugent Marxist-Leninist/Marxiste-Léniniste	Elmvale, Ont.	College Instructor/Formatrice au niveau collégial	113	0.2		
Ontario	Scarborough--Agincourt	35092	Jean Yip ** Liberal/Libéral	Toronto, Ont.	Parliamentarian/Parlementaire	27552	54.3	5820	11.5
Ontario	Scarborough--Agincourt	35092	Aris Movsessian Conservative/Conservateur	Toronto, Ont.	Political Staffer/Membre du personnel politique	21732	42.8		
Ontario	Scarborough--Agincourt	35092	Dan Lovell NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Scarborough, Ont.	Secondary School Teacher/Enseignant au secondaire	1449	2.9		
Ontario	Scarborough--Guildwood--Rouge Park	35094	Gary Anandasangaree ** Liberal/Libéral	Markham, Ont.	Lawyer/Avocat	35295	64	17810	32.3
Ontario	Scarborough--Guildwood--Rouge Park	35094	Suchita Jalan Conservative/Conservateur	Brampton, Ont.	Real Estate Broker/Courtière immobilière	17485	31.7		
Ontario	Scarborough--Guildwood--Rouge Park	35094	Kingsley Kwok NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Scarborough, Ont.	Registered Respiratory Therapist/Inhalothérapeute agréé	1772	3.2		
Ontario	Scarborough--Guildwood--Rouge Park	35094	Troy Rife Green Party/Parti Vert	Toronto, Ont.	Student/Étudiant	633	1.1		
Ontario	Scarborough--Woburn	35097	Michael Coteau ** Liberal/Libéral	Scarborough, Ont.	Parliamentarian/Parlementaire	25281	60.4	10990	26.2
Ontario	Scarborough--Woburn	35097	Reddy Muttukuru Conservative/Conservateur	Aurora, Ont.	Self-Employed/Travailleur indépendant	14291	34.1		
Ontario	Scarborough--Woburn	35097	George Wedge NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Scarborough, Ont.	Senior Quality Assurance Technician/Technicien en chef à l'assurance de la qualité	1466	3.5		
Ontario	Scarborough--Woburn	35097	Gianne Broughton Green Party/Parti Vert	Toronto, Ont.	Caregiver/Proche aidante	499	1.2		
Ontario	Scarborough--Woburn	35097	Amina Bhaiyat Independent/Indépendant(e)	Toronto, Ont.	Homemaker/Personne au foyer	181	0.4		
Ontario	Scarborough--Woburn	35097	Ayub Sipra Centrist/Centriste	Pickering, Ont.	Realtor/Courtier immobilier	150	0.4		
Ontario	Simcoe North/Simcoe-Nord	35099	Adam Chambers ** Conservative/Conservateur	Port McNicoll, Ont.	Parliamentarian / Lawyer/Parlementaire et avocat	32241	48.4	2474	3.7
Ontario	Simcoe North/Simcoe-Nord	35099	Ryan Rocca Liberal/Libéral	Tiny, Ont.	Property Manager/Gestionnaire immobilier	29767	44.7		
Ontario	Simcoe North/Simcoe-Nord	35099	Melissa Lloyd NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Peterborough, Ont.	Office Manager/Cheffe de bureau	2508	3.8		
Ontario	Simcoe North/Simcoe-Nord	35099	Ray Little Green Party/Parti Vert	Orillia, Ont.	Manager, eMobility/Gestionnaire, eMobility	1260	1.9		
Ontario	Simcoe North/Simcoe-Nord	35099	Stephen Toivo Makk People's Party - PPC/Parti populaire - PPC	Victoria Harbour, Ont.	Engineer/Ingénieur	638	1		
Ontario	Simcoe North/Simcoe-Nord	35099	Russ Emo Christian Heritage Party/Parti de l'Héritage Chrétien	Kirkfield, Ont.	Commercial Insurance Broker/Courtier d'assurance commerciale	191	0.3		
Ontario	Simcoe--Grey	35098	Terry Dowdall ** Conservative/Conservateur	New Lowell, Ont.	Parliamentarian/Parlementaire	35364	52.1	5909	8.7
Ontario	Simcoe--Grey	35098	Bren Munro Liberal/Libéral	Collingwood, Ont.	Business Owner/Propriétaire d'entreprise	29455	43.4		
Ontario	Simcoe--Grey	35098	Jasleen Bains NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Surrey, B.C./ C.-B.	Communications Specialist/Spécialiste en communication 	1574	2.3		
Ontario	Simcoe--Grey	35098	Allan Kuhn Green Party/Parti Vert	Angus, Ont.	Direct Support Worker/Aide de soutien direct	991	1.5		
Ontario	Simcoe--Grey	35098	Giorgio Mammoliti People's Party - PPC/Parti populaire - PPC	Wasaga Beach, Ont.	Retired/À la retraite	523	0.8		
Ontario	Spadina--Harbourfront	35100	Chi Nguyen Liberal/Libéral	Toronto, Ont.	Executive Director/Directrice générale	31832	60.1	15546	29.3
Ontario	Spadina--Harbourfront	35100	Diana Filipova Conservative/Conservateur	Toronto, Ont.	Teacher/Enseignante	16286	30.7		
Ontario	Spadina--Harbourfront	35100	Norm Di Pasquale NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Toronto, Ont.	Senior Consultant/Consultant principal	4107	7.8		
Ontario	Spadina--Harbourfront	35100	Gordon Rand Green Party/Parti Vert	Toronto, Ont.	Actor/Acteur	448	0.8		
Ontario	Spadina--Harbourfront	35100	Gilbert Joseph Jubinville People's Party - PPC/Parti populaire - PPC	Oakville, Ont.	Certified Engineering Technologist/Technologue professionnel	193	0.4		
Ontario	Spadina--Harbourfront	35100	Nick Lin Marxist-Leninist/Marxiste-Léniniste	Toronto, Ont.	Web Designer / Computer Technical Support/Concepteur de sites web et assistance technique	85	0.2		
Ontario	Spadina--Harbourfront	35100	Shrey Rao Independent/Indépendant(e)	Toronto, Ont.	Financial Analyst/Analyste financier	39	0.1		
Ontario	Stormont--Dundas--Glengarry	35102	Eric Duncan ** Conservative/Conservateur	Cornwall, Ont.	Parliamentarian/Parlementaire	37399	56.3	10992	16.6
Ontario	Stormont--Dundas--Glengarry	35102	Sarah Good Liberal/Libéral	Cornwall, Ont.	Engagement / Population Health Specialist/Spécialiste en engagement / santé de la population	26407	39.8		
Ontario	Stormont--Dundas--Glengarry	35102	Mario Leclerc NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Pointe-Claire, Que./ Qc	Paralegal/Parajuriste	1653	2.5		
